,airport,avg_delay,delay_stddev,max_delay,min_delay,num_fligts
144,COS,12.51,50.91,538,-23,1309
145,LAR,4.88,32.52,182,-18,122
146,DRO,14.9,59.74,663,-24,388
147,BIS,15.89,69.91,874,-20,663
148,ITO,1.36,22.13,349,-17,1119
149,BTR,11.58,44.07,521,-20,1415
150,HLN,-0.18,17.62,117,-20,248
151,BZN,11.99,61.2,1130,-19,615
152,MDW,12.68,30.31,432,-15,14120
153,MDT,14.36,56.56,480,-29,673
154,SCE,24.12,75.93,497,-15,137
155,LIH,2.14,32.96,860,-26,2068
156,TWF,-5.17,13.54,130,-20,127
157,BPT,22.84,54.97,320,-14,178
158,GPT,3.17,33.22,576,-22,730
159,STC,18.69,53.1,320,-16,78
160,HPN,19.76,52.8,526,-23,1459
161,MLB,6.69,35.77,374,-10,260
162,PLN,21.41,74.04,474,-14,111
163,CIU,10.48,32.84,226,-10,123
164,CAK,6.75,33.86,401,-15,1218
165,DSM,16.75,49.96,622,-23,1730
166,BLI,1.16,41.11,361,-17,207
167,SHV,13.4,49.15,726,-33,1115
168,SNA,6.54,28.84,474,-25,7031
169,ALB,9.1,38.95,541,-16,1259
170,LNK,6.04,35.04,339,-21,446
171,CMI,21.63,64.97,590,-14,406
172,GTF,4.86,53.09,716,-26,318
173,EKO,-5.09,36.64,399,-21,131
174,LGB,6.73,34.74,449,-21,1651
175,AVL,11.55,60.69,667,-19,448
176,HSV,6.22,30.68,358,-61,886
177,XNA,17.45,55.23,684,-21,1660
178,SUX,17.18,48.07,279,-14,114
179,HYS,8.3,37.85,183,-24,113
180,MFE,6.57,63.79,1362,-22,790
181,ISP,14.34,34.46,411,-11,770
182,BUR,7.04,29.19,364,-35,3676
183,DAB,6.27,31.88,255,-10,292
184,DAY,8.68,36.78,407,-19,1672
185,LFT,9.75,42.91,554,-20,1048
186,LBE,12.49,41.65,290,-19,208
187,ASE,19.19,47.3,461,-23,1339
188,GUM,9.32,16.76,61,-11,69
189,TVC,17.0,53.05,423,-20,430
190,ALO,17.3,48.22,356,-12,111
191,TLH,9.43,42.01,386,-25,713
192,ELP,8.35,38.68,994,-22,2310
193,MHK,8.6,36.1,245,-22,297
194,IMT,13.91,82.94,634,-20,122
195,JNU,6.56,49.98,538,-25,658
196,JAC,14.89,48.07,349,-40,768
197,MEI,15.69,62.94,518,-31,177
198,DBQ,16.91,41.03,215,-16,156
199,GNV,12.63,48.84,472,-20,508
200,BRD,-1.87,26.76,264,-27,115
201,DIK,11.78,58.05,393,-20,237
202,SDF,10.04,45.44,951,-18,2011
203,LBB,8.89,34.14,346,-13,951
204,AVP,10.5,35.52,241,-15,228
205,SGF,16.34,49.41,437,-18,1241
206,COU,18.87,47.88,300,-13,248
207,BTM,-6.38,8.18,57,-21,131
208,ELM,9.28,38.87,420,-18,374
209,RKS,6.05,59.86,565,-37,187
210,PIH,6.93,88.84,710,-26,130
211,SUN,4.03,28.84,211,-20,198
212,LWS,-4.27,13.22,118,-14,117
213,VEL,1.49,71.76,626,-30,113
214,STT,13.08,49.89,562,-27,1032
215,SAF,12.37,38.53,389,-15,254
216,YUM,5.01,38.42,296,-20,374
217,FCA,1.06,26.95,166,-21,289
218,GRR,14.11,50.37,1011,-20,2174
219,HDN,14.94,48.16,342,-25,352
220,ROA,10.54,44.71,360,-22,317
221,CHA,6.72,25.89,177,-17,719
222,EYW,2.63,47.38,948,-22,509
223,MYR,9.73,40.22,554,-24,651
224,CRW,19.87,58.47,455,-17,389
225,MQT,11.18,36.18,194,-11,56
226,CHO,18.02,67.59,913,-20,403
227,GJT,3.8,33.58,447,-18,580
228,FWA,16.26,41.88,350,-21,764
229,ECP,8.64,49.68,905,-14,540
230,EVV,15.03,47.1,430,-20,649
231,MSO,1.01,22.17,151,-18,291
232,EGE,17.21,88.86,1457,-23,628
233,AMA,9.61,36.64,502,-24,1060
234,MLI,14.68,43.41,400,-15,856
235,MBS,12.27,50.05,458,-25,346
236,GFK,9.01,46.85,394,-19,102
237,GRK,10.01,41.42,326,-26,791
238,BIL,3.47,29.53,360,-16,504
239,OTZ,6.32,42.1,383,-28,127
240,KTN,3.31,40.94,296,-29,398
241,STX,14.02,44.09,262,-19,200
242,ILM,7.44,48.51,600,-19,317
243,PUB,8.73,40.21,251,-20,111
244,RHI,1.29,41.62,420,-41,189
245,CDC,2.22,54.55,540,-22,116
246,HRL,2.92,28.84,334,-16,623
247,SCC,3.96,35.21,300,-35,166
248,FNT,6.2,32.03,323,-14,829
249,LSE,11.71,43.12,319,-19,258
250,MMH,7.6,28.49,112,-21,87
251,ACT,11.03,46.97,407,-17,283
252,FSM,10.73,37.33,260,-17,415
253,AGS,11.56,45.5,484,-14,440
254,CEC,22.31,57.59,298,-26,122
255,ICT,13.34,54.79,886,-19,1444
256,AEX,9.65,50.93,485,-25,598
257,DHN,9.71,50.52,623,-9,249
258,LRD,4.01,30.57,280,-20,424
259,WRG,3.2,45.91,259,-26,132
260,PHF,14.17,45.35,326,-11,270
261,ROW,18.82,60.4,353,-13,173
262,CNY,-6.98,11.07,78,-27,117
263,BRW,5.28,34.16,302,-30,171
264,GGG,12.5,31.26,168,-15,110
265,AZO,15.14,50.54,466,-16,374
266,CLL,9.57,55.38,780,-17,391
267,SRQ,14.1,54.52,952,-22,752
268,ORH,9.59,35.97,201,-18,116
269,FLG,2.83,29.65,223,-17,292
270,TRI,6.52,32.5,299,-15,357
271,VLD,7.54,30.74,201,-6,186
272,SIT,5.81,44.67,405,-26,203
273,BQK,5.9,31.18,215,-9,185
274,BMI,15.67,47.95,408,-21,521
275,PSG,5.46,60.24,360,-39,133
276,FAY,13.4,63.15,535,-15,338
277,MKG,14.8,48.09,223,-32,117
278,CSG,7.3,34.76,287,-17,202
279,MAF,9.53,40.13,547,-26,1695
280,EWN,3.83,36.53,300,-14,119
281,OME,3.07,26.24,140,-27,126
282,CMX,11.0,47.16,314,-18,115
283,JMS,18.06,61.29,437,-34,144
284,SGU,2.43,29.14,326,-16,332
285,RST,16.09,42.68,259,-15,385
286,GTR,12.43,51.94,409,-8,178
287,BET,0.39,28.85,189,-26,179
288,TOL,11.53,37.89,217,-13,163
289,APN,18.01,61.05,335,-22,106
290,SMX,22.98,79.45,530,-10,133
291,LCH,3.86,30.21,306,-20,356
292,RDD,6.74,29.96,183,-17,189
293,GCK,8.15,34.72,178,-15,123
294,DVL,18.11,74.36,509,-24,94
295,GRI,16.94,77.06,575,-14,120
296,ABY,9.88,41.74,352,-12,177
297,SWF,18.65,53.69,290,-19,140
298,ILG,34.71,72.49,272,-24,52
299,JLN,18.58,89.03,892,-16,123
300,ADK,-2.95,22.87,59,-37,19
301,UST,19.61,45.85,241,-17,31
302,TXK,6.77,37.55,339,-20,167
303,SPS,15.0,49.39,352,-15,216
304,ABI,8.71,37.67,430,-15,473
305,YAK,-8.77,24.99,136,-47,132
306,SJT,9.36,34.42,205,-21,290
307,CDV,-8.66,24.44,143,-42,131
308,OTH,26.31,47.38,160,-14,36
309,ADQ,-7.94,20.64,112,-27,62
310,PPG,8.48,13.55,37,-10,21
311,HOB,4.16,46.16,391,-17,105
312,BGM,17.36,42.7,160,-14,36
313,BGR,21.9,71.68,291,-10,20
314,ITH,12.0,27.16,59,-5,4
